fieldname;short_code;content
i94cnty ; 582 ; MEXICO Air Sea, and Not Reported (I-94, no land arrivals)
i94cnty ; 236 ; AFGHANISTAN
i94cnty ; 101 ; ALBANIA
i94cnty ; 316 ; ALGERIA
i94cnty ; 102 ; ANDORRA
i94cnty ; 324 ; ANGOLA
i94cnty ; 529 ; ANGUILLA
i94cnty ; 518 ; ANTIGUA-BARBUDA
i94cnty ; 687 ; ARGENTINA 
i94cnty ; 151 ; ARMENIA
i94cnty ; 532 ; ARUBA
i94cnty ; 438 ; AUSTRALIA
i94cnty ; 103 ; AUSTRIA
i94cnty ; 152 ; AZERBAIJAN
i94cnty ; 512 ; BAHAMAS
i94cnty ; 298 ; BAHRAIN
i94cnty ; 274 ; BANGLADESH
i94cnty ; 513 ; BARBADOS
i94cnty ; 104 ; BELGIUM
i94cnty ; 581 ; BELIZE
i94cnty ; 386 ; BENIN
i94cnty ; 509 ; BERMUDA
i94cnty ; 153 ; BELARUS
i94cnty ; 242 ; BHUTAN
i94cnty ; 688 ; BOLIVIA
i94cnty ; 717 ; BONAIRE, ST EUSTATIUS, SABA
i94cnty ; 164 ; BOSNIA-HERZEGOVINA
i94cnty ; 336 ; BOTSWANA
i94cnty ; 689 ; BRAZIL
i94cnty ; 525 ; BRITISH VIRGIN ISLANDS
i94cnty ; 217 ; BRUNEI
i94cnty ; 105 ; BULGARIA
i94cnty ; 393 ; BURKINA FASO
i94cnty ; 243 ; BURMA
i94cnty ; 375 ; BURUNDI
i94cnty ; 310 ; CAMEROON
i94cnty ; 326 ; CAPE VERDE
i94cnty ; 526 ; CAYMAN ISLANDS
i94cnty ; 383 ; CENTRAL AFRICAN REPUBLIC
i94cnty ; 384 ; CHAD
i94cnty ; 690 ; CHILE
i94cnty ; 245 ; CHINA, PRC
i94cnty ; 721 ; CURACAO
i94cnty ; 270 ; CHRISTMAS ISLAND
i94cnty ; 271 ; COCOS ISLANDS
i94cnty ; 691 ; COLOMBIA
i94cnty ; 317 ; COMOROS
i94cnty ; 385 ; CONGO
i94cnty ; 467 ; COOK ISLANDS
i94cnty ; 575 ; COSTA RICA
i94cnty ; 165 ; CROATIA
i94cnty ; 584 ; CUBA
